step	mode	labware	liquidClass	tip	tipMask	volumes	mask	dispSeq	numberOfAsp	incubationTime	flushOutTime	repeat
water	0	water	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;310;310;310;310;0;0	00111100	seq	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;27;28;29;30	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;35;36;37;38	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;43;44;45;46	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;51;52;53;54	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;59;60;61;62	1	30	15	1
water	1	filter_plate_384	HighVolume_Water_DispenseJet_Part	1	00111100	0;0;50;50;50;50;0;0	00111100	4;67;68;69;70	1	30	15	1
pre-protK	0	protK	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;160;160;160;160;0;0	00111100	seq	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;27;28;29;30	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;35;36;37;38	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;43;44;45;46	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;51;52;53;54	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;59;60;61;62	1	30	15	1
pre-protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;25;25;25;25;0;0	00111100	4;67;68;69;70	1	30	15	1
protK	0	protK	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;310;310;310;310;0;0	00111100	seq	1	300	15	1
protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;50;50;50;50;0;0	00111100	4;27;28;29;30	1	300	15	1
protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;50;50;50;50;0;0	00111100	4;35;36;37;38	1	300	15	1
protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;50;50;50;50;0;0	00111100	4;43;44;45;46	1	300	15	1
protK	1	filter_plate_384	HighVolume_Premix_DispenseJet_Part	2	00111100	0;0;50;50;50;50;0;0	00111100	4;51;52;53;54	1	300	15	1
